aza1    [cH:1][nH0:2]>>[nH0:1][nH0:2]
aza2    [cH:1][o:2]>>[nH0:1][o:2]
aza3    [cH:1][nH1:2]>>[nH0:1][nH1:2]
R2C=O->R2C=N(OH)    [#6:1][C:2]([#6:3])=[O]>>[#6:1][C:2]([#6:3])=[N]-[OH]
tBut->CF3   [CH0,CH1:1]([CH3:2])([CH3:3])([CH3:4])>>[CH0,CH1:1]([F:2])([F:3])[F:4]
cOH->cF [c:1][OH]>>[c:1][F]
cOH->cCl    [c:1][OH]>>[c:1][Cl]
cOH->cBr    [c:1][OH]>>[c:1][Br]
cOH->cI [c:1][OH]>>[c:1][I]
cCOOH->cNO2 [c:1][C](=[O])[OH]>>[c:1]-[N+](=[O])[O-]
o->s    [o:1]>>[s:1]
C=O->SO2    [CH0:1]=[O:2]>>[SH0:1](=[O])=[O:2]
